No;Game Name;Game protocol;Supported since;Verified;By;INTERNATIONAL_ID;FTN_ID
92;In Touch Technologies Inc.;FreeTrack20;V160;;;20006;005C88CE1D058424D88C00
349;Inglobe;FreeTrack20;V160;;;20360;015D5442514EA727526D00
231;Innovatec Simulator;FreeTrack20;V160;;;20036;00E7920AF051A330FAA600
104;Insurgency;FreeTrack20;V160;;;9401;00682CB681F925AB0F6A00
443;Intific;FreeTrack20;V160;;;20655;01BB9399EA57966BC11300
184;iRacing;FreeTrack20;V160;;;14101;00B82AAAD44114A5EABB00
204;IREQ Robotic Camera Control;FreeTrack20;V160;;;20027;00CC44BC073883A1ABB500
449;ISIC;FreeTrack20;V160;;;20680;01C177201D3A03E4006700
493;ITCL;FreeTrack20;V160;;;20820;01EDB3182E177EB5026E00
405;IVD Online;FreeTrack20;V160;;;20535;0195B89FBE2236B3A78000
88;J.J. Keller and Associates;FreeTrack20;V160;;;20002;005823D7C0F457D4FDF100
100;Janes F18;FreeTrack20;V160;;;9001;0064165383689BB1055C00
385;Javal Ent.;FreeTrack20;V160;;;2650;018115942BDF061BE46F00
387;JC Demo;FreeTrack20;V160;;;20470;018346AFBD4E940FAF8A00
47;Jet Thunder;FreeTrack20;V160;;;4501;002F81A9CFA072CBE26A00
36;Jetfighter V;FreeTrack20;V160;;;2501;00244953A2760E826FE100
411;JFIST;FreeTrack20;V160;;;20560;019B919FDE52C94F722D00
288;John Deere Vehicle Simulator;FreeTrack20;V160;;;20175;0120CB0E12F3AB55D65300
25;Jump to Lightspeed;FreeTrack20;V160;;;6001;00196DCDEC96B9C882A500
192;Jumpgate;FreeTrack20;V160;;;15001;00C04B2449A3F257514E00
236;Jumpgate Evolution;FreeTrack20;V170;;;15002;3A9A5936D4F93DCE0CE700
17;KAF Keymapper;FreeTrack20;V160;;;3101;0011E2686B5B23E3B4A800
463;KAI FLight Simulator;FreeTrack20;V160;;;20725;01CF834F29EBC5A9BFEF00
144;Key Macro View;FreeTrack20;V160;;;12001;0090F19445683A2168D600
361;kiwi.vg;FreeTrack20;V160;;;20395;0169B11715289D90E44400
386;L-3;FreeTrack20;V160;;;20465;018294453C0E0EE16BB100
264;L-3 Communications;FreeTrack20;V160;;;20051;0108BB71885A4FDA205500
205;Lionhead MGS Game Research;FreeTrack20;V160;;;15301;00CD43E1E3CCF9BF748F00
29;Live For Speed;FreeTrack20;V160;;;7101;001D4FC6F4EF3D7E48CF00
136;Live for Speed S2;FreeTrack20;V160;;;11601;00880D0A41B67A39D28200
2;Lock-On: Modern Air Combat;FreeTrack20;V160;;;1002;000272D8819F59779B7300
201;Lockheed Martin Littoral Combat Ship simulator;FreeTrack20;V160;;;20025;00C94C0774EF6B95FC6400
365;LockOn: Flaming Cliffs 2;FreeTrack20;V170;;;1005;03EDAFB0D279F3A6F72200
437;London NHS;FreeTrack20;V160;;;20640;01B52A23B6D34D1A1A9F00
85;Lore (Dark Horizons);FreeTrack20;V160;;;5302;00554096EC8C9878CF9200
442;Love;FreeTrack20;V160;;;3125;01BA33A33A01A24EC1AB00
122;Lucid Engine;FreeTrack20;V160;;;10501;007A23340BAB30B9BA1000
403;M4 Tank Platoon;FreeTrack20;V160;;;1306;0193E33321E9D97274DC00
379;Mach 1;FreeTrack20;V160;;;2575;017B82264F9497542A2300
383;ManuVAR;FreeTrack20;V160;;;20455;017FBAE17BB4B1DF9F2400
203;MaqSIM4;FreeTrack20;V160;;;20026;00CBE1C9442D7E89E78D00
106;Mech Tactical Sim;FreeTrack20;V160;;;9501;006A32E41D501B43C00F00
433;Mechwarrior Online;FreeTrack20;V170;;;3025;0BD114954226DB5D8CE200
318;Medical Image Visualization;FreeTrack20;V160;;;20295;013E06ECEC255F8C3E0800
249;Meggitt Defense Systems;FreeTrack20;V160;;;20045;00F9DC29D19895487B6C00
408;MetaVR;FreeTrack20;V160;;;20545;0198614A5C85BC5B21A500
256;Meteoroid Maze;FreeTrack20;V160;;;13003;0100DA85690FEE4CE8AA00
348;MeVEA;FreeTrack20;V160;;;2250;015C7C61B1A0B391A82400
23;Micro Flight;FreeTrack20;V160;;;5101;00173516714FAA1424FD00
267;Microsoft ESP;FreeTrack20;V160;;;2306;010B6138B193D84B877E00
281;Microsoft Flight;FreeTrack20;V170;;;2307;0903AFBC54959539C51500
76;Microsoft Train Simulator;FreeTrack20;V160;;;7805;004CB25F5A748DC56FA600
481;MiddleVR;FreeTrack20;V160;;;20785;01E15AD9A1BF5788732200
7;Mig Alley;FreeTrack20;V160;;;1501;00071B1D7811FB865C1800
416;Mimik Vehicle Simulator;FreeTrack20;V160;;;20585;01A08B8035EED58A8EA300
378;Miner Wars;FreeTrack20;V160;;;2550;017A23F029863696D3B700
11;MKMapper Keymapper;FreeTrack20;V160;;;2201;000B3FDEA7219E1B3FE600
406;ModelSim;FreeTrack20;V160;;;20540;0196544AEBCCB6CDE97700
118;Morgan State University;FreeTrack20;V160;;;20010;0076E2DD472701CE1FFC00
135;Motor Company;FreeTrack20;V160;;;11501;0087B44851F711B3E09E00
45;Motorsport Simulators;FreeTrack20;V160;;;4201;002D0AC61E75F696E43800
93;Mouse Emulation;FreeTrack20;V160;;;8501;005D125D0C1438B4BD5B00
65;MS World Tour Kart 2004;FreeTrack20;V160;;;6601;004112C27CFA6F45654500
158;MSN Virtual Earth;FreeTrack20;V160;;;2309;009E1C037925FD2D541000
371;mTBI Balance;FreeTrack20;V160;;;20420;01730A097BCAE8DB1D2700
152;NASA Crew Exploration Vehicle;FreeTrack20;V160;;;20017;0098B9C576512B35B86D00
37;NASCAR Heat;FreeTrack20;V160;;;2602;00252743D8E81EA5E28300
75;NASCAR Racing 2003 season;FreeTrack20;V160;;;7804;004B4F68639EA37962BC00
61;NASCAR SimRacing;FreeTrack20;V160;;;6201;003DD8E1AE9104A69CA200
213;NecroVisioN;FreeTrack20;V160;;;15601;00D5DEFD8DBD3A898E0400
127;NetKar Pro;FreeTrack20;V160;;;10901;007F2E80EFBB53C23AE800
179;Nitro Stunt Racing;FreeTrack20;V160;;;13901;00B31F2576B9676095E200
89;North Eastern University;FreeTrack20;V160;;;20003;0059549BAAC3509E30D300
395;Novint;FreeTrack20;V160;;;2725;018B1ACFB3A9DB1F463500
453;NVH Sound Simulator;FreeTrack20;V160;;;20695;01C52B0F776EB03D40B400
466;OHJCH;FreeTrack20;V160;;;20740;01D2D53549A4AD258C0700
259;Onadime - Realtime Animation;FreeTrack20;V160;;;20049;01034B3E9CB4A2BC59A800
54;Operation Air Assault 2;FreeTrack20;V160;;;5401;003615F0D18EAB10D74700
73;Operation Flashpoint 2 (inactive);FreeTrack20;V160;;;7601;00490AE7C30678C2BE9300
272;Operation Flashpoint(r): Dragon Rising(tm);FreeTrack20;V170;;;8106;1FAA3328780E1322676100
123;OptiMetrics;FreeTrack20;V160;;;20011;007B5456C192EF581A4400
454;OpusFSX;FreeTrack20;V160;;;3175;01C63EDF50047080DF1C00
120;Orbiter 2005 Plug-In;FreeTrack20;V160;;;10301;00785F82A85EE37660FC00
181;Orbiter 2006;FreeTrack20;V160;;;10303;00B5E252B1CA8D5677EF00
180;Orbiter 2006 Plug-In;FreeTrack20;V160;;;10302;00B445B539602FE137AB00
207;Oryx Vehicle Simulators;FreeTrack20;V160;;;20028;00CFCE423F4B9979E9BA00
327;Outer Conflict: Frontiers;FreeTrack20;V160;;;1900;014788F872AB60417F3300
261;Over Flanders Fields;FreeTrack20;V160;;;2325;010529557D6FA134EDBC00
402;PanoPro;FreeTrack20;V160;;;20525;0192BD283C4A31B45B4500
186;Paraworld;FreeTrack20;V160;;;14501;00BA5039D1DDA19907CF00
440;Phoenix R/C;FreeTrack20;V160;;;3075;01B801D5500DBFF3496300
350;Pivot Maritime;FreeTrack20;V160;;;20365;015E472408A51DC05B3E00
451;PlanetSide 2;FreeTrack20;V170;;;6002;1772BB34B53FDC5C5AAF00
461;PlanetSide 2 M.E.;FreeTrack20;V160;;;6003;01CDF898452E1EBBAE2A00
296;Pointman;FreeTrack20;V160;;;7525;01280243413FE2E4C8E300
448;Power Driving Simulator;FreeTrack20;V160;;;20675;01C040D5035311D2527100
377;Prepar3D;FreeTrack20;V160;;;20440;01790E10088D3907774A00
108;Priston Tale;FreeTrack20;V160;;;9701;006C870212CBE670973500
102;Project Reality (BF2 Mod);FreeTrack20;V160;;;9201;006669EDBEC82FE43CE200
269;Project Torque (Invictus);FreeTrack20;V160;;;4802;010DAAED7202A00A655C00
160;Project X;FreeTrack20;V160;;;20022;00A09C79A8A0D152677900
376;Quanser;FreeTrack20;V160;;;20435;0178939BFE9809A627C800
414;QuantaDyn;FreeTrack20;V160;;;20575;019E557428E37376FF7F00
247;Quest 3D Xframe Plugin;FreeTrack20;V160;;;20043;00F7BFB47F954C43454300
251;Quest3D;FreeTrack20;V160;;;1425;00FB1F3D1175694975DC00
240;Quest3D - CINEACT integration;FreeTrack20;V160;;;20040;00F0989CF1992B06E73500
101;R-concept X (AdrenalinStorm);FreeTrack20;V160;;;9101;0065FF26067DBF68405000
239;R.U.D.O. Tools;FreeTrack20;V160;;;20039;00EF12AAAA0FFD211A4400
193;RACE (the WTCC game);FreeTrack20;V160;;;3904;00C1F93264F7E42807A500
137;RACE 07, RACE, GTR 2;FreeTrack20;V160;;;3903;0089322254C0FEBA783600
35;Racer;FreeTrack20;V160;;;2401;0023DD0722234C623D2A00
157;Racer S;FreeTrack20;V160;;;20030;009D7DDCFB4BA63BF8B900
477;RaceRoom Racing Experience;FreeTrack20;V160;;;3905;01DDD4149E8079814C4900
280;Rail Simulator 1;FreeTrack20;V160;;;1550;011861BD945A05CE9A0200
304;Railway Work Simulator;FreeTrack20;V160;;;20225;01308D38573EFBA8C62900
407;RailWorks 2;FreeTrack20;V160;;;2750;01972274C0A26400FA4300
494;RailWorks 5 (TS2014);FreeTrack20;V160;;;1551;01EE0E7CED6052182A9E00
42;Raydon Driving Simulator;FreeTrack20;V160;;;3701;002ADE17B702A8BA0B7E00
113;Real Time Visual;FreeTrack20;V160;;;9901;00716D9809FCBF2337FB00
21;RealFlight;FreeTrack20;V160;;;4001;0015AA9C954F2E10843700
252;Reality Manager;FreeTrack20;V160;;;20046;00FC1758EC486A46E56A00
299;RealWorld;FreeTrack20;V160;;;20215;012BEB3D7A9E22A4C30000
232;Red Baron 3D;FreeTrack20;V160;;;1125;00E8532DCC6880486FE400
321;Red Orchestra: Heroes of Stalingrad;FreeTrack20;V170;;;12602;313A21F9121056CD997300
155;Red Orchestra: Ostfront;FreeTrack20;V170;;;12601;31399A9A2BE97252BB9000
