No;Game Name;Game protocol;Supported since;Verified;By;International ID;FaceTrackNoIR ID
1;18 Wheels of Steel: Haulin';FreeTrack20;V160;V;doc-uk;13601;0001B778CCFF77F1661400
2;1944 D-Day;FreeTrack20;V160;;;15701;0002FAB16544650569FD00
3;3D Instructor;FreeTrack20;V160;;;20490;00038757AA74FD5604A600
4;3D Interactive;FreeTrack20;V160;;;20425;00045E7044C6B015915A00
5;3d Nav;FreeTrack20;V160;;;20235;0005CCFD0A7434541BA500
6;3D-Fahrschule Driving Simulator;FreeTrack20;V160;;;20020;0006FAB165446710621000
7;3ds Max;FreeTrack20;V160;;;8601;0007E29DC46721B7DC7E00
8;Aaaaa!;FreeTrack20;V160;;;1775;00084F0FB0983289A28900
9;Accessible Computer Games;FreeTrack20;V160;;;4301;0009E29DC47520A722A400
10;Aces High II;FreeTrack20;V160;V;bash1;2701;000A1FEA6A6832DA93D600
11;Aerofly;FreeTrack20;V160;;;2025;000B6B836B17434B42D900
12;Affineon;FreeTrack20;V160;;;20405;000C4E913479329724A100
13;Air Battles: Sky Defender;FreeTrack20;V160;;;7003;000D3B8D0708539A2E8700
14;Air Phobia;FreeTrack20;V160;;;20100;000E8757AA8223A8DA8800
15;Air Traffic Control Tower;FreeTrack20;V160;;;3601;000F909A8227AAE6884200
16;AirBook;FreeTrack20;V160;;;15201;001083EC77833A2FCA6300
17;America's Army;FreeTrack20;V160;;;4101;00113A009771369C399900
18;America's Army 3;FreeTrack20;V170;;;14203;00123F3206BCEA252BB700
19;ANAG 3D;FreeTrack20;V160;;;20250;00138622C840D781654000
20;Apache: Air Assault;FreeTrack20;V160;V;paleta77;1875;001419763762A9A309E200
21;Aprisoft Gartenplaner;FreeTrack20;V160;;;20014;0015996787782BAA31AA00
22;Aprisoft Traumhaus Designer;FreeTrack20;V160;;;20013;001641D57A3BB833AA3600
23;ArmA;FreeTrack20;V160;V;EmBeES;10601;00176C36C27140B00F0200
